销售日期,七彩椒(1),七彩椒(2),七彩椒(份),上海青,上海青(份),东门口小白菜,丝瓜尖,云南油麦菜,云南油麦菜(份),云南生菜,云南生菜(份),余干椒,保康高山大白菜,冰草,冰草(盒),净藕(1),净藕(2),净藕(3),南瓜尖,双孢菇,双孢菇(份),双孢菇(盒),双沟白菜,和丰阳光海鲜菇(包),四川红香椿,圆茄子(1),圆茄子(2),外地茼蒿,外地茼蒿(份),大白菜,大白菜秧,大芥兰,大龙茄子,奶白菜,奶白菜(份),奶白菜苗,姜蒜小米椒组合装(小份),姬菇(1),姬菇(2),姬菇(份),姬菇(包),娃娃菜,小白菜,小白菜(份),小皱皮,小皱皮(份),小米椒,小米椒(份),小青菜(1),小青菜(2),小青菜(份),平菇,快菜,春菜,木耳菜,木耳菜(份),本地上海青,本地小毛白菜,本地黄心油菜,杏鲍菇(1),杏鲍菇(2),杏鲍菇(250克),杏鲍菇(份),杏鲍菇(袋),枝江红菜苔,枝江红菜苔(份),枝江青梗散花,槐花,水果辣椒,水果辣椒(份),水果辣椒(橙色),油菜苔,泡泡椒(精品),洪山菜苔,洪湖莲藕(粉藕),洪湖莲藕(脆藕),洪湖藕带,活体银耳,海鲜菇(1),海鲜菇(2),海鲜菇(份),海鲜菇(包),海鲜菇(袋)(1),海鲜菇(袋)(2),海鲜菇(袋)(3),海鲜菇(袋)(4),灯笼椒(1),灯笼椒(2),灯笼椒(份),牛排菇,牛排菇(盒),牛首油菜,牛首生菜,猪肚菇(盒),猴头菇,甘蓝叶,甜白菜,田七,白玉菇(1),白玉菇(2),白玉菇(盒),白玉菇(袋),白菜苔,白蒿,秀珍菇,竹叶菜,竹叶菜(份),紫圆茄,紫尖椒,紫白菜(1),紫白菜(2),紫苏,紫苏(份),紫茄子(1),紫茄子(2),紫螺丝椒,紫贝菜,红尖椒,红尖椒(份),红杭椒,红杭椒(份),红椒(1),红椒(2),红椒(份),红橡叶,红灯笼椒(1),红灯笼椒(2),红灯笼椒(份),红珊瑚(粗叶),红线椒,红莲藕带,红薯尖,红薯尖(份),组合椒系列,绣球菌,绣球菌(袋),绿牛油,艾蒿,芜湖青椒(1),芝麻苋菜,芥兰,芥菜,花茄子,花菇(一人份),苋菜,苋菜(份),茶树菇(袋),茼蒿,茼蒿(份),荠菜,荸荠,荸荠(份),莲蓬(个),菊花油菜,菌菇火锅套餐(份),菌蔬四宝(份),菜心,菜心(份),菠菜,菠菜(份),菱角,萝卜叶,蒲公英,蔡甸藜蒿,蔡甸藜蒿(份),薄荷叶,藕尖,虫草花,虫草花(份),虫草花(盒)(2),虫草花(袋),螺丝椒,螺丝椒(份),蟹味菇(1),蟹味菇(2),蟹味菇(盒),蟹味菇(袋),蟹味菇与白玉菇双拼(盒),襄甜红菜苔(袋),西兰花,西峡花菇(1),西峡花菇(2),西峡香菇(1),西峡香菇(2),西峡香菇(份) ,豌豆尖,赤松茸,赤松茸(盒),辣妹子,野生粉藕,野藕(1),野藕(2),金针菇(1),金针菇(2),金针菇(份),金针菇(盒),金针菇(袋)(1),金针菇(袋)(2),金针菇(袋)(3),银耳(朵),长线茄,随州泡泡青,青尖椒,青尖椒(份),青杭椒(1),青杭椒(2),青杭椒(份),青梗散花,青红尖椒组合装(份),青红杭椒组合装(份),青线椒,青线椒(份),青茄子(1),青茄子(2),青菜苔,面条菜,马兰头,马齿苋,高瓜(1),高瓜(2),鱼腥草,鱼腥草(份),鲜木耳(1),鲜木耳(2),鲜木耳(份),鲜粽叶,鲜粽叶(袋)(1),鲜粽叶(袋)(2),鲜粽叶(袋)(3),鲜粽子叶,鲜藕带(袋),鸡枞菌,鹿茸菇(盒),黄心菜(1),黄心菜(2),黄白菜(1),黄白菜(2),黄花菜,黑油菜,黑牛肝菌,黑牛肝菌(盒),黑皮鸡枞菌,黑皮鸡枞菌(盒),龙牙菜
2020-07-01,1.909,0.0,0.0,11.475999999999999,0.0,0.0,0.0,32.579,0.0,41.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.623,0.0,14.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.138,0.0,0.0,0.0,9.0,4.288,0.0,0.0,0.0,4.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.039,0.0,0.0,0.0,0.0,11.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.548,0.0,0.0,0.0,0.7310000000000001,0.0,0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.661,0.0,0.0,0.0,0.0,2.129,0.0,2.512,0.0,0.0,0.0,1.953,0.0,0.0,0.0,0.0,0.0,9.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.959,0.0,5.4719999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.99,0.0,0.0,7.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.844,0.0,0.0,0.0,0.0,12.086,0.0,0.0,5.51,0.0,17.713,0.0,0.0,0.0,0.0,0.0,4.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.837,0.0,0.0,6.5489999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,1.825,0.0,0.0,6.806,0.0,1.392,0.0,27.056,0.0,44.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,10.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.539,0.0,0.0,0.0,6.0,4.55,0.0,0.0,0.0,4.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.124,0.0,0.0,0.0,0.0,10.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.81,0.0,0.0,0.0,0.258,0.0,2.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.556000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.432,0.0,0.0,0.0,0.0,1.679,0.0,3.2969999999999997,0.0,0.0,0.0,1.3940000000000001,0.0,0.0,0.0,0.0,0.0,11.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.109,0.0,0.0,17.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.208000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6669999999999998,0.0,0.0,0.0,0.0,13.834,0.0,0.0,4.721,0.0,17.767,0.0,0.0,0.0,0.0,0.0,4.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.625,0.0,0.0,4.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,1.581,0.0,0.0,12.659,0.0,3.4779999999999998,0.0,36.709,0.0,36.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,10.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259,0.0,0.0,0.0,11.0,3.099,0.0,0.0,0.0,3.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.306,0.0,0.0,0.0,0.0,9.443999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.351,0.0,0.0,0.0,0.0,0.0,1.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.553,0.0,0.0,0.0,0.0,1.904,0.0,4.738,0.0,0.0,0.0,2.239,0.0,0.0,0.0,0.0,0.0,11.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.46,0.0,0.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.331,0.0,0.0,0.0,0.0,15.616,0.0,0.0,4.7059999999999995,0.0,18.343,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.943,0.0,0.0,9.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-04,0.6930000000000001,0.0,0.0,28.186,0.0,4.908,0.0,42.962,0.0,51.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.596,0.0,0.0,0.0,14.0,7.091,0.0,0.0,0.0,3.4210000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.099,0.0,0.0,0.0,0.0,13.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.815,0.0,0.0,0.0,2.332,0.0,1.3780000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.045,0.0,0.0,0.0,0.0,1.703,0.0,4.948,0.0,0.0,0.0,0.9450000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.815,0.0,0.0,14.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.948,0.0,0.0,0.0,0.0,12.847,0.0,0.0,8.509,0.0,24.022,0.0,0.0,0.0,0.0,0.0,3.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2509999999999994,0.0,0.0,17.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,1.395,0.0,0.0,11.617,0.0,3.625,0.0,12.594,0.0,33.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.698,0.0,0.0,10.026,0.0,0.0,0.0,0.0,1.772,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.6990000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.568,0.0,0.0,0.0,0.0,14.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.493,0.0,0.0,0.0,0.0,2.56,0.0,7.412,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.0,55.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.365,0.0,0.0,18.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.991,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.535,0.0,0.0,0.0,0.0,13.109,0.0,0.0,8.475,0.0,24.423000000000002,0.0,0.0,0.0,0.0,0.0,4.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,1.2730000000000001,0.0,0.0,13.458,0.0,0.0,0.0,11.053,0.0,36.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4190000000000005,0.0,14.098,0.0,0.0,5.333,0.0,0.0,0.0,0.0,1.103,0.0,0.0,0.0,9.0,6.496,0.0,0.0,0.0,3.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.539,0.0,0.0,0.0,0.0,9.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.296,0.0,0.0,0.0,0.0,0.0,1.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,0.0,0.0,0.0,0.0,2.0140000000000002,0.0,4.308,0.0,0.0,0.0,1.234,0.0,0.0,0.0,0.0,0.0,15.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.99,0.0,0.0,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.911,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.896,0.0,0.0,0.0,0.0,18.287,0.0,0.0,5.11,0.0,16.434,0.0,0.0,0.0,0.0,0.0,2.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,1.323,0.0,0.0,9.861,0.0,1.266,0.0,28.214,0.0,30.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.416,0.0,14.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137,0.0,0.0,0.0,8.0,6.929,0.0,0.0,0.0,2.738,0.0,0.0,0.0,0.0,0.424,0.0,0.0,5.059,0.0,0.0,0.0,0.0,13.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,2.2159999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,2.3529999999999998,0.0,4.158,0.0,0.0,0.0,1.374,0.0,0.0,0.0,0.0,0.0,4.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.05,0.0,0.0,14.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.797,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.784,0.0,0.0,0.0,0.0,22.699,0.0,0.0,4.226,0.0,17.512,0.0,0.0,0.0,0.0,0.0,3.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,7.609,0.0,3.537,0.0,11.761,0.0,40.607,0.0,0.0,0.0,0.143,0.0,3.292,0.0,0.0,0.0,2.578,0.0,0.0,0.0,0.0,0.0,0.0,4.1129999999999995,3.1109999999999998,0.0,9.9,0.0,0.0,0.0,6.688,0.0,0.0,0.0,0.965,0.0,0.0,0.0,2.0,4.077999999999999,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129,0.0,0.0,0.0,0.0,1.2630000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.058,0.0,1.862,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.809,0.0,0.0,2.179,0.0,1.131,0.0,1.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.022,0.0,2.0,0.0,0.0,0.0,0.0,28.081,0.0,0.0,0.0,0.0,0.0,4.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.254,0.0,6.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,9.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.769000000000002,0.0,0.0,8.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.723,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.037,0.0,0.0,4.814,0.0,12.951,0.0,0.0,0.688,0.0,10.356,0.0,0.0,0.0,0.0,0.0,4.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.043,0.0,0.0,2.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,0.0,0.0,0.0,6.564,0.0,1.747,0.0,13.161,0.0,21.669,0.0,0.0,0.0,1.603,0.0,3.286,0.0,0.0,0.0,3.089,0.0,0.0,0.0,0.0,0.0,0.0,2.676,0.0,0.0,7.55,0.0,0.0,0.0,4.764,0.0,0.0,0.0,0.908,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.461,0.0,0.9440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.264,0.0,0.0,2.281,0.0,1.702,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.893,0.0,5.0,0.0,0.0,0.0,0.0,12.265,0.0,0.0,0.0,0.0,0.0,5.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.519,0.0,8.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.956,0.0,0.0,8.161999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.851,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.249,0.0,2.141,0.0,0.0,2.08,0.0,6.016,0.0,0.0,3.34,0.0,7.376,0.0,0.0,0.0,0.0,0.0,6.043,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.494,0.0,0.0,11.155000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03,0.0,0.0,0.0,5.804,0.0,1.365,0.0,16.471,0.0,34.916000000000004,0.0,0.0,0.0,1.9100000000000001,0.0,7.869,0.0,0.0,0.0,3.573,0.0,0.0,0.0,0.0,0.0,0.0,4.884,4.3870000000000005,0.0,18.591,0.0,0.0,0.0,11.985,0.0,0.0,0.0,1.631,0.0,0.0,1.0,9.0,5.194,0.0,0.0,0.0,4.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169,0.0,0.0,0.0,0.0,4.4110000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.853,0.0,2.496,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,5.0,0.0,0.0,0.0,18.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.547,0.0,0.0,1.955,0.0,0.486,0.0,2.2560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.863,0.0,27.824,0.0,1.0,0.0,0.0,0.0,0.0,35.583,0.0,0.0,0.0,0.0,0.0,9.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.672,0.0,12.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.0,0.0,0.0,20.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.266,0.0,0.0,25.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.032,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.317,0.0,0.0,3.133,0.0,14.231,0.0,0.0,1.891,0.0,14.298,0.0,0.0,0.0,0.0,0.0,8.935,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
