销售日期,水生根茎类,花叶类,花菜类,茄类,辣椒类,食用菌
2020-07-01,4.85,205.402,47.076,35.374,76.715,35.365
2020-07-02,4.6,198.362,43.943,32.199,66.064,48.51
2020-07-03,9.572000000000001,191.779,42.076,35.896,64.253,42.442
2020-07-04,5.439,236.587,55.662,57.067,81.282,47.262
2020-07-05,4.019,223.899,55.474,61.816,98.496,73.213
2020-07-06,3.089,195.74,42.721000000000004,30.727,58.682,40.578
2020-07-07,3.117,175.052,45.749,32.112,42.213,52.56
2021-07-01,8.512,148.597,33.72,26.278,54.567,32.65
2021-07-02,10.79,133.586,24.972,28.565,51.785000000000004,34.247
2021-07-03,29.657,197.925,48.497,47.285,73.552,66.849
2021-07-04,24.214,197.322,45.679,39.241,57.583,44.466
2021-07-05,14.947,176.276,66.355,49.588,53.877,40.491
2021-07-06,7.861,173.864,44.901,49.005,46.553,36.365
2021-07-07,8.404,149.514,40.488,31.752,38.244,26.099
2022-07-01,15.086,149.719,28.897,17.165,25.326,50.953
2022-07-02,28.667,195.295,55.851,27.475,55.999,45.704
2022-07-03,63.873,189.083,48.366,42.368,58.67,42.18
2022-07-04,20.219,116.605,27.955000000000002,17.802,47.642,36.688
2022-07-05,34.508,133.21,42.64,17.524,49.728,50.367
2022-07-06,39.018,164.461,31.186,9.038,51.119,32.226
2022-07-07,43.066,134.044,50.962,14.602,39.874,29.189
