日期,七彩椒(1),七彩椒(2),上海青,上海青(份),东门口小白菜,云南油麦菜,云南油麦菜(份),云南生菜,云南生菜(份),余干椒,冰草,冰草(盒),净藕(1),净藕(3),双孢菇,双孢菇(盒),双沟白菜,和丰阳光海鲜菇(包),四川红香椿,圆茄子(2),外地茼蒿,大白菜,奶白菜,姜蒜小米椒组合装(小份),姬菇(1),姬菇(份),姬菇(包),娃娃菜,小白菜,小皱皮,小皱皮(份),小米椒,小米椒(份),小青菜(1),平菇,春菜,木耳菜,木耳菜(份),本地上海青,杏鲍菇(1),杏鲍菇(2),杏鲍菇(袋),枝江红菜苔,枝江青梗散花,水果辣椒,水果辣椒(份),水果辣椒(橙色),泡泡椒(精品),洪山菜薹珍品手提袋,洪山菜薹莲藕拼装礼盒,洪湖莲藕(粉藕),洪湖藕带,活体银耳,海鲜菇(1),海鲜菇(包),海鲜菇(袋)(3),海鲜菇(袋)(4),灯笼椒(1),灯笼椒(2),牛首生菜,甘蓝叶,甜白菜,田七,白玉菇(1),白玉菇(2),白玉菇(袋),竹叶菜,竹叶菜(份),紫白菜(1),紫苏,紫茄子(1),紫茄子(2),紫贝菜,红尖椒,红杭椒,红杭椒(份),红椒(1),红椒(2),红灯笼椒(1),红灯笼椒(2),红线椒,红莲藕带,红薯尖,组合椒系列,芜湖青椒(1),芜湖青椒(2),芝麻苋菜,芥兰,花茄子,苋菜,苋菜(份),茶树菇(袋),荸荠,莲蓬(个),菌菇火锅套餐(份),菌蔬四宝(份),菜心,菜心(份),菠菜,菠菜(份),菱角,萝卜叶,虫草花,虫草花(份),螺丝椒,螺丝椒(份),蟹味菇(1),蟹味菇(袋),蟹味菇与白玉菇双拼(盒),襄甜红菜苔(袋),西兰花,西峡花菇(1),西峡香菇(1),野生粉藕,野藕(1),金针菇(1),金针菇(2),金针菇(份),金针菇(盒),金针菇(袋)(2),银耳(朵),长线茄,随州泡泡青,青尖椒,青尖椒(份),青杭椒(1),青杭椒(2),青梗散花,青红杭椒组合装(份),青线椒,青线椒(份),青茄子(1),青菜苔,高瓜(1),高瓜(2),鱼腥草(份),鲜木耳(1),鲜木耳(份),鲜藕带(袋),鸡枞菌,黄心菜(1),黄心菜(2),黄白菜(2)
2020-07-01,7.58,,7.03,,,3.44,,6.72,,,,,,,,,,,,,11.69,2.1,,,8.16,,,4.13,9.24,,,12.1,,,,,4.2,,,6.16,,,,,,,,4.32,,,,29.43,,10.29,,,,7.5,,,,4.44,,,,,3.19,,,,,6.56,,,7.83,,5.76,,8.24,,,,3.6,,,,,,,3.88,,,,,,,4.6,,8.47,,,,,,,,,,,,9.23,,10.8,,,4.06,,,,,,,,4.64,,,,6.03,,6.81,,1.63,,5.65,,,,,,,3.97,,4.63
2020-07-02,7.33,,7.03,,6.83,3.58,,4.23,,,,,,,,,,,,,11.75,2.1,,,8.05,,,4.11,9.19,,,12.13,,,,,4.23,,,6.15,,,,,,,,4.48,,,,29.54,,10.13,,,,6.46,,,,4.44,,,,,3.18,,,,,3.72,,,7.27,,5.71,,8.24,,,,3.6,,,,,,,3.93,,,,,,,4.52,,7.88,,,,,,7.1,,,,,,8.9,,10.8,,,4.05,,,,,,,,4.57,,,,5.52,,6.85,,1.46,,5.76,,,,,,,3.97,,4.76
2020-07-03,6.21,,6.76,,6.88,3.75,,4.61,,,,,,,,,,,,,11.75,2.11,,,7.9,,,4.05,9.2,,,12.2,,,,,4.3,,,6.32,,,,,,,,5.31,,,,,,10.05,,,,6.23,,,,4.47,,,,,3.79,,,,,6.56,,,6.75,,5.7,,7.0,,,,3.6,,,,,,,3.57,,,,,,,3.89,,,,,,,,6.58,,,,,,8.97,,10.8,,,4.05,,,,,,,,4.42,,,,4.81,,8.07,,1.48,,5.61,,,,,,,3.98,,4.74
2020-07-04,7.43,,6.56,,7.21,3.75,,5.77,,,,,,,,,,,,,,2.21,,,7.79,,,4.09,9.16,,,12.08,,,,,4.28,,,6.0,,,,,,,,5.16,,,,25.48,,10.08,,,,7.23,,,,4.44,,,,,3.46,,,,,3.94,,,5.9,,5.42,,7.37,,,,,,,,,,,,,,,,,,3.53,,,,,,,,6.0,,,,,,9.27,,12.0,,,4.05,,,,,,,,4.41,,,,4.71,,6.09,,1.98,,5.41,,,,,,,4.01,,4.63
2020-07-05,8.35,,6.56,,7.03,3.75,,5.77,,,,,,,,,,,,,,2.2,,,7.9,,,4.1,10.0,,,11.67,,,,,4.31,,,6.16,,,,,,,,5.16,,,,,,,,,,7.23,,,,4.44,,,,,3.45,,,,,4.24,,,5.83,,5.44,,7.3,,,,3.6,,,,,,,3.48,,,,,,,4.04,,,,,,,,7.95,,,,,,9.47,,12.0,,,4.05,,,,,,,,4.35,,,,4.93,,6.3,,2.04,,5.42,,,,,,,,,4.75
2020-07-06,8.44,,6.25,,,3.65,,6.48,,,,,,,,,,,,,9.17,2.2,,,7.89,,,4.06,9.23,,,11.68,,,,,4.21,,,6.14,,,,,,,,4.98,,,,,,10.09,,,,7.38,,,,4.44,,,,,3.18,,,,,4.49,,,5.82,,5.41,,8.05,,,,3.6,,,,,,,3.35,,,,,,,4.55,,,,,,,,8.16,,,,,,9.48,,12.0,,,4.06,,,,,,,,4.41,,,,5.6,,6.42,,2.05,,5.45,,,,,,,,,5.31
2020-07-07,8.46,,6.25,,4.32,3.73,,6.92,,,,,,,,,,,,,9.42,2.2,,,7.88,,,4.07,9.9,,,11.69,,,8.0,,4.21,,,6.13,,,,,,,,4.75,,,,,,10.05,,,,6.19,,,,4.44,,,,,3.18,,,,,4.75,,,5.8,,5.48,,10.56,,,,3.6,,,,,,,3.26,,,,,,,4.65,,,,,,,,8.08,,,,,,9.16,,12.0,,,4.05,,,,,,,,4.6,,,,5.44,,6.6,,2.05,,5.46,,,,,,,,,5.31
2020-07-08,8.42,,6.25,,,3.75,,6.92,,,,,9.0,,,,,,,,9.81,2.2,,,7.87,,,4.11,10.42,,,11.54,,,,,4.21,,,6.13,,,,,,,,4.75,,,,,,10.04,,,,4.34,,,,4.44,,,,,3.02,,,,,5.23,,,6.2,,5.62,,12.22,,,,3.6,,,,,,,3.24,,,,,,,4.78,,,,,,,,7.55,,,,,,9.09,,12.0,,,4.05,,,,,,,,4.77,,,,5.27,,7.17,,2.04,,5.47,,,,,,,4.39,,5.31
2020-07-09,7.92,,6.25,,,3.75,,7.06,,,,,,,,,,,,,9.8,2.15,,,7.85,,,4.09,10.42,,,10.2,,,,,4.22,,,6.12,,,,,,,,4.75,,,,,,10.03,,,,4.34,,,,4.44,,,,,2.84,,,,,5.3,,,6.26,,5.52,,12.24,,,,3.6,,,,,,,3.08,,,,,,,4.77,,,,,,,,7.25,,,,,,9.03,,12.0,,,4.05,,,,,,,,4.81,,,,5.21,,7.26,,2.04,,5.47,,,,,,,4.46,,5.31
2020-07-10,7.35,,6.25,,,3.75,,7.07,,,,,9.0,,,,,,,,9.81,2.1,,,7.86,,,4.06,10.43,,,10.2,,,,,4.23,,,6.11,,,,,,,,5.42,,,,,,9.94,,,,,,,,5.29,,,,,2.62,,,,,5.5,,,6.11,,5.51,,,,,,3.6,,,,,,,2.41,,,,,,,4.76,,7.88,,,,,,7.32,,,,,,8.82,,12.0,,,4.05,,,,,,,,4.83,,,,4.7,,7.87,,2.1,,5.44,,,,,,,4.46,,5.31
