销售日期,水生根茎类,花叶类,花菜类,茄类,辣椒类,食用菌
2020-07-01,4.85,205.402,47.076,35.374,76.715,35.365
2020-07-02,4.6,198.362,43.943,32.199,66.064,48.51
2020-07-03,9.572000000000001,191.779,42.076,35.896,64.253,42.442
2020-07-04,5.439,236.587,55.662,57.067,81.282,47.262
2020-07-05,4.019,223.899,55.474,61.816,98.496,73.213
2020-07-06,3.089,195.74,42.721000000000004,30.727,58.682,40.578
2020-07-07,3.117,175.052,45.749,32.112,42.213,52.56
2020-07-08,10.605,158.57,45.433,39.67,65.88,43.968
2020-07-09,2.106,187.439,41.131,25.921,58.86,37.837
2020-07-10,9.025,179.833,62.344,37.86,58.936,41.429
2020-07-11,8.928,271.12,76.564,68.277,85.93599999999999,52.238
2020-07-12,13.994,300.189,71.615,81.706,72.459,55.96
2020-07-13,11.605,190.832,32.028,44.379,61.24,42.113
2020-07-14,9.007,190.599,57.575,34.747,66.745,44.836
2020-07-15,10.238,218.094,37.962,38.17,73.354,42.196
2020-07-16,11.354,215.526,39.45,26.586,72.656,53.685
2020-07-17,10.727,201.67,44.198,37.251,61.025,51.908
2020-07-18,10.418,275.265,61.088,56.585,85.051,71.884
2020-07-19,11.124,321.164,76.351,71.772,103.776,80.322
2020-07-20,9.548,204.997,47.431,33.947,67.35,52.617
2020-07-21,12.744,214.99,49.005,27.094,56.993,45.905
2020-07-22,11.05,232.78300000000002,53.675,48.247,81.36,66.794
2020-07-23,30.417,200.441,39.425,44.142,57.639,56.759
2020-07-24,11.74,176.325,38.284,34.97,58.738,49.201
2020-07-25,10.424,227.137,57.421,61.874,94.206,67.013
2020-07-26,12.988,250.825,64.119,69.521,102.06099999999999,71.295
2020-07-27,17.265,198.00900000000001,42.876,36.121,71.402,52.777
2020-07-28,13.959,165.443,34.937,40.34,66.001,47.728
2020-07-29,18.597,193.72899999999998,42.22,40.777,82.494,54.315
2020-07-30,10.645,201.743,38.198,46.311,68.219,50.774
2020-07-31,19.062,197.166,37.549,34.092,41.104,45.587
2020-08-01,21.432,229.89000000000001,54.362,48.805,66.156,53.797
2020-08-02,56.153999999999996,243.138,49.219,50.893,67.963,54.961
2020-08-03,15.555,207.843,44.426,45.191,86.474,48.575
2020-08-04,26.208,180.012,44.534,30.591,73.365,45.301
2020-08-05,21.452,244.395,43.631,49.472,82.229,62.84
2020-08-06,19.115000000000002,234.777,40.827,31.596,74.047,48.611
2020-08-07,25.415,204.941,40.272,51.799,78.611,68.177
2020-08-08,27.461,311.161,58.156,63.764,100.292,92.144
2020-08-09,25.9,250.59,54.876,51.835,73.684,73.073
2020-08-10,30.683,210.292,50.7,47.664,78.905,36.094
2020-08-11,20.458,216.713,56.279,33.572,73.292,40.017
2020-08-12,27.355,206.877,50.065,36.009,85.166,34.195
2020-08-13,19.323999999999998,188.208,47.468,31.109,61.768,35.65
2020-08-14,29.991,217.758,58.582,37.826,76.489,53.795
2020-08-15,25.642,245.136,79.38,43.279,94.285,58.015
2020-08-16,24.454,241.48,60.231,48.366,95.285,55.093
2020-08-17,15.916,215.633,51.749,35.014,72.953,47.418
2020-08-18,21.753,225.113,55.92,34.019,76.92,45.716
2020-08-19,17.95,214.173,64.06099999999999,30.347,80.919,50.126
2020-08-20,22.966,233.532,69.587,37.957,75.953,54.411
2020-08-21,34.598,207.076,50.062,29.694,85.19800000000001,50.0
2020-08-22,42.772,273.081,55.886,30.422,116.801,49.895
2020-08-23,46.057,261.552,71.556,47.316,93.714,55.226
2020-08-24,20.305,260.694,41.784,26.874,97.079,39.576
2020-08-25,20.062,343.427,47.761,23.272,107.213,54.488
2020-08-26,18.95,241.686,82.544,30.722,82.32000000000001,42.811
2020-08-27,19.487000000000002,199.007,92.506,19.129,89.92,50.458
2020-08-28,20.997,195.032,39.93,24.597,156.11,55.659
2020-08-29,65.814,267.031,56.803,30.675,145.627,62.431
2020-08-30,30.005,266.387,80.779,21.641,155.811,73.195
2020-08-31,52.949,224.882,54.722,15.943,117.965,44.776
2020-09-01,47.658,191.655,55.858,26.329,102.504,47.282
2020-09-02,17.941,179.819,38.716,13.873000000000001,83.969,51.011
2020-09-03,15.996,193.463,38.893,14.172,87.119,48.163
2020-09-04,16.635,176.316,46.612,20.233,91.579,54.43
2020-09-05,42.554,249.559,57.828,33.731,110.43900000000001,62.594
2020-09-06,46.963,276.111,53.202,33.397,126.5,78.472
2020-09-07,38.926,148.221,26.257,17.365000000000002,56.473,41.804
2020-09-08,19.127,158.329,33.239,20.623,50.259,32.389
2020-09-09,12.161,131.492,32.73,12.041,39.795,33.45
2020-09-10,14.492,119.919,57.319,16.916,49.321,35.789
2020-09-11,13.364,151.957,31.538,22.019,50.22,48.467
2020-09-12,16.957,231.884,43.337,21.411,74.51,73.173
2020-09-13,18.739,263.345,41.704,28.737,83.723,74.834
2020-09-14,17.361,175.844,64.257,16.134,48.55,31.147
2020-09-15,19.219,156.048,29.878,13.243,49.991,41.578
2020-09-16,18.818,176.949,59.448,15.194,46.895,35.413
2020-09-17,17.437,143.534,32.648,22.924,46.145,39.259
2020-09-18,11.389,154.388,27.705,13.805,48.075,38.541
2020-09-19,39.431,235.874,82.76,30.406,84.269,60.52
2020-09-20,39.551,317.998,53.497,41.474000000000004,99.148,50.42
2020-09-21,16.289,212.99699999999999,39.191,20.868,56.561,63.529
2020-09-22,37.808,232.243,40.905,25.819,77.009,49.058
2020-09-23,18.629,179.262,31.972,22.515,54.327,56.265
2020-09-24,51.886,162.861,38.952,18.9,50.486,61.336
2020-09-25,22.732,173.781,41.561,26.529,53.938,64.509
2020-09-26,65.744,227.771,86.643,33.517,68.094,94.495
2020-09-27,28.289,199.813,35.964,20.532,54.459,72.522
2020-09-28,11.860999999999999,114.93299999999999,24.576,18.401,37.410000000000004,46.913000000000004
2020-09-29,24.135,157.957,28.105,24.719,57.017,45.485
2020-09-30,36.839,177.129,60.771,25.865,53.628,110.358
2020-10-01,55.356,248.415,93.928,32.482,64.092,103.929
2020-10-02,21.931,244.124,67.145,38.762,69.054,89.316
2020-10-03,18.497,298.341,44.493,63.535,84.728,60.052
2020-10-04,19.254,232.776,34.491,43.849,75.21,122.501
2020-10-05,79.752,294.623,92.279,31.128,87.933,126.518
2020-10-06,25.784,287.297,108.157,42.318,81.727,124.059
2020-10-07,52.907,255.378,56.266,29.085,63.151,80.421
2020-10-08,31.952,252.73,49.58,33.49,72.023,328.488
2020-10-09,51.476,162.518,55.845,24.289,51.243,57.258
2020-10-10,22.07,175.163,37.393,26.814,52.511,75.63
2020-10-11,57.223,238.081,60.47,34.726,70.214,163.664
2020-10-12,38.333,170.212,34.815,17.876,48.979,102.385
2020-10-13,50.519,178.246,47.321,23.119,49.116,48.021
2020-10-14,46.207,182.96,48.259,13.741999999999999,46.36,73.831
2020-10-15,42.162,190.238,59.624,19.447,45.236,72.91
2020-10-16,58.973,170.77,88.361,20.139,44.67,69.805
2020-10-17,87.12,249.493,109.311,30.556,97.155,115.896
2020-10-18,79.338,226.73499999999999,91.59700000000001,36.361,88.247,113.125
2020-10-19,40.6,152.709,57.412,20.03,56.69,58.338
2020-10-20,49.434,186.078,30.899,13.777,49.296,45.419
2020-10-21,21.201,168.765,40.555,15.327,48.047,56.114
2020-10-22,35.917,117.235,26.166,14.725,50.037,94.688
2020-10-23,30.801,211.914,23.854,14.427,43.758,115.306
2020-10-24,67.932,282.107,31.113,22.221,77.097,115.39
2020-10-25,71.16,223.397,43.114,30.136,72.537,104.16
2020-10-26,20.666,157.832,22.371,10.797,45.439,62.363
2020-10-27,21.273,154.566,23.305,13.444,45.479,56.508
2020-10-28,32.418,167.542,30.297,12.238,49.395,75.211
2020-10-29,15.828,120.551,24.902,14.436,52.653999999999996,81.051
2020-10-30,18.769000000000002,148.243,28.939,12.192,46.452,74.23
2020-10-31,79.265,248.102,82.701,16.499,81.292,135.284
2020-11-01,71.332,206.956,69.062,15.407,73.722,127.967
2020-11-02,15.053,144.442,32.726,11.378,54.351,78.321
2020-11-03,15.727,135.067,52.37,10.846,66.834,65.341
2020-11-04,18.183,122.114,67.527,10.702,59.731,195.34
2020-11-05,8.347,146.327,57.354,9.067,45.282,129.089
2020-11-06,13.443,142.586,95.136,7.22,49.287,80.588
2020-11-07,71.413,224.3,121.453,10.878,69.738,122.896
2020-11-08,58.207,209.808,125.591,16.906,78.907,124.492
2020-11-09,14.579,144.911,57.592,10.063,64.616,63.22
2020-11-10,12.103,157.962,25.698,9.574,54.663,64.18
2020-11-11,17.155,150.867,63.25,15.585,65.834,64.522
2020-11-12,15.951,151.144,13.406,15.508,58.851,68.656
2020-11-13,13.766,141.977,60.306,8.044,70.246,67.676
2020-11-14,58.127,207.145,84.001,18.146,71.84,92.793
2020-11-15,45.353,227.231,77.798,18.318,74.078,73.108
2020-11-16,14.450000000000001,140.087,48.64,15.672,45.345,54.363
2020-11-17,24.762,222.517,43.621,12.224,43.486,131.979
2020-11-18,19.171,203.322,50.438,15.946,45.407,99.089
2020-11-19,22.977,207.8,77.165,12.808,59.111,90.297
2020-11-20,22.48,244.555,52.701,9.804,53.492,70.888
2020-11-21,95.789,460.646,114.066,25.451,79.774,169.382
2020-11-22,67.538,371.968,119.596,26.933,99.221,160.154
